song,artist,genre,lyrics,audio_path,language
তিরিশ বছর,Unknown,আধুনিক বাংলা গান,"কি দেখার কথা কি দেখছি? কি শোনার কথা কি শুনছি?
কি ভাবার কথা কি ভাবছি? কি বলার কথা কি বলছি?
তিরিশ বছর পরেও আমি স্বাধীনতাটাকে খুঁজছি।।
স্বাধীনতা কি বৈশাখী মেলা, পান্তা ইলিশ খাওয়া?
স্বাধীনতা কি বটমূলে বসে বৈশাখী গান গাওয়া?
স্বাধীনতা কি বুদ্ধিজীবির বক্তৃতা সেমিনার?
স্বাধীনতা কি শহীদ বেড়িতে পুষ্পের সমাহার?
স্বাধীনতা কি গল্প নাটক উপন্যাস আর কবিতা?
স্বাধীনতা কি আজ বন্দী আনুষ্ঠানিকতা?
স্বাধীনতা কি ঢাকা শহরের আকাশচুম্বী বাড়ি?
স্বাধীনতা কি ফুটপাতে শোয়া গৃহহীন নর-নারী?
স্বাধীনতা কি হোটেলে হোটেলে গ্র্যান্ড ফ্যাশন শো?
স্বাধীনতা কি দুখিনী নারীর জড়-জীর্ণ বস্ত্র?
স্বাধীনতা কি গজিয়ে ওঠা অভিজাত পান্থশালা?
স্বাধীনতা কি অন্যের খোঁজে কিশোরী প্রমোদবালা?
স্বাধীনতা কি নিরীহ লোকের অকারণে প্রাণদন্ড?
স্বাধীনতা কি পানির ট্যাঙ্কে গলিত লাশের গন্ধ?
স্বাধীনতা কি হরতাল ডেকে জীবন করা স্তব্ধ?
স্বাধীনতা কি ক্ষমতা হরণে চলে বন্দুক যুদ্ধ?
স্বাধীনতা কি সন্ত্রাসী হাতে মারণাস্ত্রের গর্জন?
স্বাধীনতা কি অর্থের লোভে বিবেক বিসর্জন?
আজ নেই বর্গী, নেই ইংরেজ, নেই পাকিস্তানী হানাদার,
আজো তবু কেন আমার মনে শূণ্যতা আর হাহাকার?
আজো তবু কি লাখো শহীদের রক্ত যাবে বৃথা?
আজো তবু কি ভুলতে বসেছি স্বাধীনতার ইতিকথা?",e:\uni\fall25\cse425\project\data\audio\bangla\তিরিশ_বছর_Unknown.mp3,bangla
মোর গান গুণগুণ ভ্রমরের মিঠে বোল,শৈলেন রায়,আধুনিক বাংলা গান,"মোর গান গুণগুণ ভ্রমরের মিঠে বোলঝুলনার ফুলশাখে আমি খেলি ফুলদো।।আমি শুধু ভেসে চলি, সুরে সুরে কথা বলিদুলে দুলে ভুলে তুলি বাতাসের হিন্দোল।।কোকিলেরা বলে মোরে, কোথা পেলে প্রাণ গোএ গান শেখাও যদি, দিতে পারি প্রাণ গোখেয়ালের হাওয়া আমি, কভু নামি কভু থামিআমি যে খুশীর ঢেউ, অকারণে উতরোল।।গীতিকার- শৈলেন রায়সুরকার- রাইচাঁদ বড়ালগেয়েছেন- সন্ধ্যা মুখোপাধ্যায়অ্যালবাম- অঞ্জনগড়",e:\uni\fall25\cse425\project\data\audio\bangla\মোর_গান_গুণগুণ_ভ্রমরের_মিঠে_বোল_শৈলেন_রায়.mp3,bangla
শেষ কোরো না শুরুতে খেলা না ভেঙ্গ না,"আলাউদ্দিন আলী, রুনা লায়লা",আধুনিক বাংলা গান,"শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না
মন যদি নাই দাও
মন তবে নিও না
ছোট্ট একটা জীবন
কেন তবে আজো ভালবাস না
চলে যাব যখন
খুজে খুজে আর কভু পাবে না
শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না
ভেবে ভেবে তোমার
এখনো কি হয়নি শেষ ভাবনা
কেদে কেদে আমার
এভাবে কি ফুরাবে দিন বল না।
শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না","e:\uni\fall25\cse425\project\data\audio\bangla\শেষ_কোরো_না_শুরুতে_খেলা_না_ভেঙ্গ_না_আলাউদ্দিন_আলী,_রুনা_লায়লা.mp3",bangla
অশ্রু দিয়ে লেখা এ গান,সাবিনা ইয়াসমিন,আধুনিক বাংলা গান,"অশ্রু দিয়ে লেখা এ গান
যেন ভুলে যেওনা।
একি বন্ধনে বাঁধা দু’জনে
এ বাঁধন খুলে যেওনা।।
যত সুর ছিল প্রাণে
সবই দিয়েছি তোমায়
বিনিময়ে তোমারে শুধু
চিরদিন কাছে পায়।
মালা চন্দনে রাঙা এইখানে
কখনো দূরে যেওনা।।
ওই ফুল বনে পাখি
আজ মন জুড়ে যেন গায়
এই হাত বাড়ানো হাতে
চিরদিন যেন ওগো রয়।
মধু কুমকুমে, নাগো মৌসুমে,
কখনো ফেলে যেওনা।।
[গানটি গেয়েছেন সাবিনা ইয়াসমিন]",e:\uni\fall25\cse425\project\data\audio\bangla\অশ্রু_দিয়ে_লেখা_এ_গান_সাবিনা_ইয়াসমিন.mp3,bangla
মুমিন মুসলমান দেখ রে এক পথ,নাঈম মিয়া,ফোক গান,মুমিন মুসলমান দেখ রে এক পথনামাজ পড়ো নামাজ পড়ো রেকরো আল্লাহর ইবাদত।।এক আল্লাহ নাম লইয়া যেজনপড়বে নামাজ ভাইহবে হবে সুনিশ্চিতবেহেশতে তার ঠাই।।এই মতে নামাজ পড়েনাঈম হৃদয় খুলেজায়নামাজ বিছাইয়া দিলেআল্লাহর স্বরুপ মিলে।।আল্লাহর কুদরতি বদনভাসাও নয়ন মূলেসজিদা করো রে মুমিনআল্লাহ চরণ কূলে।।কয় ভাবিয়া নাঈম মিয়াশুনো মুমিন ভাইনামাজ বিনে বেহেশত পাওয়ারসহজ উপায় নাই।।,e:\uni\fall25\cse425\project\data\audio\bangla\মুমিন_মুসলমান_দেখ_রে_এক_পথ_নাঈম_মিয়া.mp3,bangla
বিধিরে তুই আমায় ছাড়া রঙ্গ করার মানুষ দেখলি না,ফরিদা পারভীন,আধুনিক বাংলা গান,"বিধিরে তুই আমায় ছাড়া রঙ্গ করার মানুষ দেখলি না
আমার বুকটা ভরে তৃষ্ণা দিলি
সেই পিয়াসা মিটায়
এমন মানুষ দিলি না
আমার গেহ ভরা সুখ দিয়েছিস স্নেহ ভরা মন
স্বভাবটাকে মিছে মিছে করলি উচাটন
এই বেহায়া মনকে বাঁধে
এমন একটা মধুমতি মনকে দিলিনা
আমি বিঁষের জ্বালায় জ্বলে পুড়ি কিসের অপরাধ
পুরলো না মোর এই জীবনের একটুখানি সাধ
দু\’চোখ ভরা জল দিয়েছিস
আষাঢ় শ্রাবণ মাসে কোনো সঙ্গি দিলিনা",e:\uni\fall25\cse425\project\data\audio\bangla\বিধিরে_তুই_আমায়_ছাড়া_রঙ্গ_করার_মানুষ_দেখলি_না_ফরিদা_পারভীন.mp3,bangla
ওগো মায়াবী রাতের একা চাঁদ,আবু হেনা মোস্তফা কামাল,আধুনিক বাংলা গান,"ওগো মায়াবী রাতের একা চাঁদআমি আজ তোমারই মতনমনের মাধুরী দিয়ে পেতে চাই মন ৷৷জানিনি তো কোনো দিনব্যথার কাজল মুছে আঁখিজলভালো লাগা রং দিয়ে সাজায় নয়নওগো সাজায় নয়ন ॥
যদি তাই ভুল বুঝে কোনো অপরাধকরে থাকি, ক্ষমা কোরো সুন্দর চাঁদ।
আমি যে চেয়েছি কারও ঘুম ভাঙাতেএমন রাতে ওগো এমন রাতেভুল করে ভেঙেছি যে মধুর স্বপনওগো মধুর স্বপন।।কথা : আবু হেনা মোস্তফা কামাল, সুর : সমর দাস, কণ্ঠ : লায়লা আর্জুমান্দ বানু,অভিনয় : সুলতানা জামান, চিত্রপরিচালক : মহীউদ্দিনমুভি : মাটির পাহাড় (২৮ আগস্ট ১৯৫৯)",e:\uni\fall25\cse425\project\data\audio\bangla\ওগো_মায়াবী_রাতের_একা_চাঁদ_আবু_হেনা_মোস্তফা_কামাল.mp3,bangla
ও মন বল রে সদা লায়েলাহা ইল্লাল্লা,লালন ফকির,ফোক গান,"ও মন, বল রে সদা লায়েলাহা ইল্লাল্লা।
আইন ভেদিল রসুলুল্লা।।
লায়লাহা নফি সে হয়
ইল্লাহ সে দীন দয়াময়
নফি এসবাত যাহারে কয়
সেই এবাদতুল্লা।। 
লা-শরীক জানিয়ে তাকে
কর জেকের দল মুখে
মুক্তি পাবি থাকবি সুখে
দেখবি রে নর বজলুল্লা।। 
নামের সহিত রূপ
ধেয়ানে রাখিয়ে জপ
যদি ডাকে চিনবি কি রূপ
কে আল্লা।। 
বলেছেন সাঁই আল্লা নবী
এ জেকেরের দরজা ভারী
সিরাজ সাঁই তাই কয় ফুকারি
শোন রে লালন বেলেল্লা।।",,bangla
আমারও তো গান ছিল,কিশোর কুমার,আধুনিক বাংলা গান,"আমারও তো গান ছিল
সাধ ছিল মনে
সরস্বতীর চরণ ছুঁয়ে
থাকবো জীবনে
জানিনা কি অপরাধে
শোনাতে এসে গান
বাঁধা বীণা ছিঁড়ে গেল
ভেঙে গেল প্রাণ
কত সুখ পেল বিধি
তার এ লিখনে
তোমাদের কাছে শুধু
জেনে যেতে চাই
নিয়তির চেয়ে বড়
কিছু কি গো নাই
ভালোবাসা রাজার রাজা
নয় কি ভুবনে",e:\uni\fall25\cse425\project\data\audio\bangla\আমারও_তো_গান_ছিল_কিশোর_কুমার.mp3,bangla
কেরে বামা কার কামিনী।,রামপ্রসাদ সেন,ফোক গান,"প্রসাদী – একতালা
কেরে বামা কার কামিনী।
ব’সে কমলে ঐ একাকিনী॥
বামা হাসছে বদনে, নয়ন-কোণে, নির্গত হয় সৌদামিনী॥
এ জনমে এমন কন্যে, না দেখি না কর্ণে শুনি।
গজ খাচ্ছে ধ’রে ফিরে উগরে, ষোড়শী নবযৌবনা॥
(এই গানটির সম্পূর্ণ অংশ পাওয়া যায় না।)",e:\uni\fall25\cse425\project\data\audio\bangla\কেরে_বামা_কার_কামিনী।_রামপ্রসাদ_সেন.mp3,bangla
আর কত রহিব শুধু পথ চেয়ে,"গৌরীপ্রসন্ন মজুমদার, সতীনাথ মুখোপাধ্যায়, হেমন্ত মুখোপাধ্যায়",আধুনিক বাংলা গান,"আর কত রহিব শুধু পথ চেয়ে।
আমার আকাশ হয়না তো নীল
মেঘে মেঘে রয় ছেয়ে।
বকুলের মুকুলে নেই কেন গুন গুন
মাধবীর স্বপ্নে আসেনা তো ফাল্গুন
কিসের আশায় তবু জেগে রই
বেদনারই গান গেয়ে।
হাসি ভুলে আর কত কাঁদি
বালুচরে মিছে ঘর বাঁধি।
অবহেলা পেয়ে আমি আঁখিজলে সিক্ত
অসহায় এই আমি কত যেন রিক্ত
ঝড়ের আঘাতে হাল ভেঙ্গে যায়
খেয়া তবু যাই বেয়ে।","e:\uni\fall25\cse425\project\data\audio\bangla\আর_কত_রহিব_শুধু_পথ_চেয়ে_গৌরীপ্রসন্ন_মজুমদার,_সতীনাথ_মুখোপাধ্যায়,_হেমন্ত_মুখোপাধ্যায়.mp3",bangla
এবারের দুর্ভিক্ষের আগুন লাগল কলিজায় রে,শাহ আব্দুল করিম,ফোক গান,এবারের দুর্ভিক্ষের আগুন লাগল কলিজায় রে প্রাণী যায় প্রাণী যায় রে ॥ এবারের দুর্দশার কথা কহন না যায় পেটের ক্ষুধায় কত লোকে লতা পাতা খায় রে ॥ পাকিস্তানের গরিব দুঃখীর উপরে খোদায় না জানি কী অপরাধে এই বিপদ ঘটায় রে ॥ ভাইয়ের প্রতি ভাইয়ে নাহি নয়ন ফিরায় ভব-সাগরে যার তার বৈঠা যার তার ভাবে বায় রে ॥ শিশু সময় থাকে সন্তান মা-বাপের হাওলায় যে সময় যা দরকার পড়ে মায়ের কাছে চায় রে ॥ পেটের ক্ষুধায় সন্তান যখন কেঁদে বুক ভাসায়এই দুঃখে মা-বাপের গলে ফাঁসি দিতে চায় রে ॥ সকলেরই মেয়ে-ছেলে আছে দুনিয়ায় আগুনে ঝাঁপ দিতে চায় তোক সন্তানের মায়ায় রে ॥ কত কুলবধূ কুল ছাড়িয়া পেটের ক্ষুধায় জীবন বাঁচাবারই তরে লঙ্গরখানায় যায় রে ॥ সাত বৎসরের লীগ শাসনে এই দুর্দিন ঘটায় বিশ্বাসঘাতক যুক্তফ্রন্টে দ্বিগুণ জালায় রে ॥ কোয়ালিশন মন্ত্রিসভাতে আওয়ামী লীগ যাওয়ায়চিরদুঃখী গরিব-কাঙালে জীবনভিক্ষা পায় রে ॥ এই দুর্নীতি দমন হবে কে ভেবেছে তায় আঁধারে উঠিলে চন্দ্র চক্ষে দেখা যায় রে ॥ স্থানে স্থানে লঙ্গরখানা গরিব দুঃখীর দায় সপ্তাহে সপ্তাহে তারা রিলিফের চাউল পায় রে ॥ গরিব কৃষকের শান্তি কৃষিঋণ পাওয়ায় বন্যানিরোধ হবে বলে আশা করা যায় রে ॥ নয় বৎসরে গোরের পারে যাহারা পৌঁছায় ইসলাম নষ্ট হবে বলে আজও ভয় দেখায় রে ॥ এই উপকার ভুলব না আমরা শত্রুদের ছল্লায় আপন হস্তে দিব না ছুরি আপনার গলায় রে ॥ ওয়াস কুরুনি ওয়ালা তাকফুরুন কুরানে ফরমায় নিমকের হারামি কর না বলেছেন খোদায় রে ॥ এতটুকু অগ্রসর মোরা যাদের উসিলায় আওয়ামী লীগ জিন্দাবাদ বল মিলিয়া সবায় রে ॥ বাউল আবদুল করিম বলে দেশ নিল বন্যায় আরেক বন্যা মিলিটারি আসছিল মোদের দায় রে ॥,,bangla
দূর বনান্তের পথ ভুলি কোন বুলবুলি,কাজী নজরুল ইসলাম,নজরুলগীতি,"গজল
দূর বনান্তের পথ ভুলি কোন্ বুলবুলি
বুকে মোর আসিলি, হায়!
হায় আনন্দের দূত যে তুই, তবু তোর চোখে
কেন জল কি ব্যথায়।।
কোথা দিই ঠাঁই তোরে ওরে ভীরু পাখি,
বেদনাময় আমার ও প্রাণ ,
এ মরুতে নাই তরু, নাই তোর তৃষ্ণার তরে
জল যে হেথায়।।
নিকুঞ্জে কার গাইতে গেলি গান,
বিঁধিল বুক কণ্টকে ;
হায় পুড়িয়া বৈশাখে এলি ভিজিতে
অশ্রুর বরষায়।।",e:\uni\fall25\cse425\project\data\audio\bangla\দূর_বনান্তের_পথ_ভুলি_কোন_বুলবুলি_কাজী_নজরুল_ইসলাম.mp3,bangla
আমার চোখ বেঁধে ভবের খেলায়,অতুলপ্রসাদ সেন,ফোক গান,"আমার চোখ বেঁধে ভবের খেলায়
বলছ হরি, আমায় ধর।
আঘাত দিয়ে কহ মোরে
এই তো আমার কর।
হাত বাড়ায়ে ম’লের ঘুরে
কাছে থেকেও রইলে দুরে;
এত আমার আপন হয়েও
রইলে সদা আমার পর।
ফুরায়ে যে এল বেলা,
সাঙ্গ কবে করবে খেলা?
হরি তুমি কর নিঠুর লীলা।
আমার প্রাণে লাগে ডর।
শকতি নাই তোমায় ধরি,
হার মেনেছি, হে শ্রীহরি।
দিলে খুলি, চোখের ঠুলি
দেখা দাও হে দুংখ হর!",e:\uni\fall25\cse425\project\data\audio\bangla\আমার_চোখ_বেঁধে_ভবের_খেলায়_অতুলপ্রসাদ_সেন.mp3,bangla
দোলা হে দোলা হে দোলা,ভূপেন হাজারিকা,আধুনিক বাংলা গান,"হে দোলা হে দোলা
আঁকা বাঁকা পথে মোরা কাঁধে নিয়ে ছুটে যাই
.              রাজা-মহারাজাদের দোলা
আমাদের জীবনের ঘামে ভেজা শরীরের
.              বিনিময়ে পথ চলে দোলা
এই হেঁইয়া না, এই হেঁইয়া না, এই হেঁইয়া না।
ঐ দোলার ভেতরে ঝল্ মল্ করে যে
.               সুন্দর পোশাকের সাজ
আর, ফিরে ফিরে দেখ্ তাই ঝিকিমিকি করে যে
.              মাথায় রেশমের তাজ
হায়, মোর ছেলেটির উলঙ্গ শরীরে
.              একটুও জামা নেই",e:\uni\fall25\cse425\project\data\audio\bangla\দোলা_হে_দোলা_হে_দোলা_ভূপেন_হাজারিকা.mp3,bangla
