song_name,genre,lyrics,artist_name
তিরিশ বছর,আধুনিক বাংলা গান,"কি দেখার কথা কি দেখছি? কি শোনার কথা কি শুনছি?
কি ভাবার কথা কি ভাবছি? কি বলার কথা কি বলছি?
তিরিশ বছর পরেও আমি স্বাধীনতাটাকে খুঁজছি।।
স্বাধীনতা কি বৈশাখী মেলা, পান্তা ইলিশ খাওয়া?
স্বাধীনতা কি বটমূলে বসে বৈশাখী গান গাওয়া?
স্বাধীনতা কি বুদ্ধিজীবির বক্তৃতা সেমিনার?
স্বাধীনতা কি শহীদ বেড়িতে পুষ্পের সমাহার?
স্বাধীনতা কি গল্প নাটক উপন্যাস আর কবিতা?
স্বাধীনতা কি আজ বন্দী আনুষ্ঠানিকতা?
স্বাধীনতা কি ঢাকা শহরের আকাশচুম্বী বাড়ি?
স্বাধীনতা কি ফুটপাতে শোয়া গৃহহীন নর-নারী?
স্বাধীনতা কি হোটেলে হোটেলে গ্র্যান্ড ফ্যাশন শো?
স্বাধীনতা কি দুখিনী নারীর জড়-জীর্ণ বস্ত্র?
স্বাধীনতা কি গজিয়ে ওঠা অভিজাত পান্থশালা?
স্বাধীনতা কি অন্যের খোঁজে কিশোরী প্রমোদবালা?
স্বাধীনতা কি নিরীহ লোকের অকারণে প্রাণদন্ড?
স্বাধীনতা কি পানির ট্যাঙ্কে গলিত লাশের গন্ধ?
স্বাধীনতা কি হরতাল ডেকে জীবন করা স্তব্ধ?
স্বাধীনতা কি ক্ষমতা হরণে চলে বন্দুক যুদ্ধ?
স্বাধীনতা কি সন্ত্রাসী হাতে মারণাস্ত্রের গর্জন?
স্বাধীনতা কি অর্থের লোভে বিবেক বিসর্জন?
আজ নেই বর্গী, নেই ইংরেজ, নেই পাকিস্তানী হানাদার,
আজো তবু কেন আমার মনে শূণ্যতা আর হাহাকার?
আজো তবু কি লাখো শহীদের রক্ত যাবে বৃথা?
আজো তবু কি ভুলতে বসেছি স্বাধীনতার ইতিকথা?",Unknown
মোর গান গুণগুণ ভ্রমরের মিঠে বোল,আধুনিক বাংলা গান,"মোর গান গুণগুণ ভ্রমরের মিঠে বোলঝুলনার ফুলশাখে আমি খেলি ফুলদো।।আমি শুধু ভেসে চলি, সুরে সুরে কথা বলিদুলে দুলে ভুলে তুলি বাতাসের হিন্দোল।।কোকিলেরা বলে মোরে, কোথা পেলে প্রাণ গোএ গান শেখাও যদি, দিতে পারি প্রাণ গোখেয়ালের হাওয়া আমি, কভু নামি কভু থামিআমি যে খুশীর ঢেউ, অকারণে উতরোল।।গীতিকার- শৈলেন রায়সুরকার- রাইচাঁদ বড়ালগেয়েছেন- সন্ধ্যা মুখোপাধ্যায়অ্যালবাম- অঞ্জনগড়",শৈলেন রায়
শেষ কোরো না শুরুতে খেলা না ভেঙ্গ না,আধুনিক বাংলা গান,"শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না
মন যদি নাই দাও
মন তবে নিও না
ছোট্ট একটা জীবন
কেন তবে আজো ভালবাস না
চলে যাব যখন
খুজে খুজে আর কভু পাবে না
শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না
ভেবে ভেবে তোমার
এখনো কি হয়নি শেষ ভাবনা
কেদে কেদে আমার
এভাবে কি ফুরাবে দিন বল না।
শেষ কোরো না
শুরুতে খেলা না ভেঙ্গ না
দীপ জ্বেলে নিভে দিও না","আলাউদ্দিন আলী, রুনা লায়লা"
অশ্রু দিয়ে লেখা এ গান,আধুনিক বাংলা গান,"অশ্রু দিয়ে লেখা এ গান
যেন ভুলে যেওনা।
একি বন্ধনে বাঁধা দু’জনে
এ বাঁধন খুলে যেওনা।।
যত সুর ছিল প্রাণে
সবই দিয়েছি তোমায়
বিনিময়ে তোমারে শুধু
চিরদিন কাছে পায়।
মালা চন্দনে রাঙা এইখানে
কখনো দূরে যেওনা।।
ওই ফুল বনে পাখি
আজ মন জুড়ে যেন গায়
এই হাত বাড়ানো হাতে
চিরদিন যেন ওগো রয়।
মধু কুমকুমে, নাগো মৌসুমে,
কখনো ফেলে যেওনা।।
[গানটি গেয়েছেন সাবিনা ইয়াসমিন]",সাবিনা ইয়াসমিন
মুমিন মুসলমান দেখ রে এক পথ,ফোক গান,মুমিন মুসলমান দেখ রে এক পথনামাজ পড়ো নামাজ পড়ো রেকরো আল্লাহর ইবাদত।।এক আল্লাহ নাম লইয়া যেজনপড়বে নামাজ ভাইহবে হবে সুনিশ্চিতবেহেশতে তার ঠাই।।এই মতে নামাজ পড়েনাঈম হৃদয় খুলেজায়নামাজ বিছাইয়া দিলেআল্লাহর স্বরুপ মিলে।।আল্লাহর কুদরতি বদনভাসাও নয়ন মূলেসজিদা করো রে মুমিনআল্লাহ চরণ কূলে।।কয় ভাবিয়া নাঈম মিয়াশুনো মুমিন ভাইনামাজ বিনে বেহেশত পাওয়ারসহজ উপায় নাই।।,নাঈম মিয়া
বিধিরে তুই আমায় ছাড়া রঙ্গ করার মানুষ দেখলি না,আধুনিক বাংলা গান,"বিধিরে তুই আমায় ছাড়া রঙ্গ করার মানুষ দেখলি না
আমার বুকটা ভরে তৃষ্ণা দিলি
সেই পিয়াসা মিটায়
এমন মানুষ দিলি না
আমার গেহ ভরা সুখ দিয়েছিস স্নেহ ভরা মন
স্বভাবটাকে মিছে মিছে করলি উচাটন
এই বেহায়া মনকে বাঁধে
এমন একটা মধুমতি মনকে দিলিনা
আমি বিঁষের জ্বালায় জ্বলে পুড়ি কিসের অপরাধ
পুরলো না মোর এই জীবনের একটুখানি সাধ
দু\’চোখ ভরা জল দিয়েছিস
আষাঢ় শ্রাবণ মাসে কোনো সঙ্গি দিলিনা",ফরিদা পারভীন
ওগো মায়াবী রাতের একা চাঁদ,আধুনিক বাংলা গান,"ওগো মায়াবী রাতের একা চাঁদআমি আজ তোমারই মতনমনের মাধুরী দিয়ে পেতে চাই মন ৷৷জানিনি তো কোনো দিনব্যথার কাজল মুছে আঁখিজলভালো লাগা রং দিয়ে সাজায় নয়নওগো সাজায় নয়ন ॥
যদি তাই ভুল বুঝে কোনো অপরাধকরে থাকি, ক্ষমা কোরো সুন্দর চাঁদ।
আমি যে চেয়েছি কারও ঘুম ভাঙাতেএমন রাতে ওগো এমন রাতেভুল করে ভেঙেছি যে মধুর স্বপনওগো মধুর স্বপন।।কথা : আবু হেনা মোস্তফা কামাল, সুর : সমর দাস, কণ্ঠ : লায়লা আর্জুমান্দ বানু,অভিনয় : সুলতানা জামান, চিত্রপরিচালক : মহীউদ্দিনমুভি : মাটির পাহাড় (২৮ আগস্ট ১৯৫৯)",আবু হেনা মোস্তফা কামাল
ও মন বল রে সদা লায়েলাহা ইল্লাল্লা,ফোক গান,"ও মন, বল রে সদা লায়েলাহা ইল্লাল্লা।
আইন ভেদিল রসুলুল্লা।।
লায়লাহা নফি সে হয়
ইল্লাহ সে দীন দয়াময়
নফি এসবাত যাহারে কয়
সেই এবাদতুল্লা।। 
লা-শরীক জানিয়ে তাকে
কর জেকের দল মুখে
মুক্তি পাবি থাকবি সুখে
দেখবি রে নর বজলুল্লা।। 
নামের সহিত রূপ
ধেয়ানে রাখিয়ে জপ
যদি ডাকে চিনবি কি রূপ
কে আল্লা।। 
বলেছেন সাঁই আল্লা নবী
এ জেকেরের দরজা ভারী
সিরাজ সাঁই তাই কয় ফুকারি
শোন রে লালন বেলেল্লা।।",লালন ফকির
আমারও তো গান ছিল,আধুনিক বাংলা গান,"আমারও তো গান ছিল
সাধ ছিল মনে
সরস্বতীর চরণ ছুঁয়ে
থাকবো জীবনে
জানিনা কি অপরাধে
শোনাতে এসে গান
বাঁধা বীণা ছিঁড়ে গেল
ভেঙে গেল প্রাণ
কত সুখ পেল বিধি
তার এ লিখনে
তোমাদের কাছে শুধু
জেনে যেতে চাই
নিয়তির চেয়ে বড়
কিছু কি গো নাই
ভালোবাসা রাজার রাজা
নয় কি ভুবনে",কিশোর কুমার
কেরে বামা কার কামিনী।,ফোক গান,"প্রসাদী – একতালা
কেরে বামা কার কামিনী।
ব’সে কমলে ঐ একাকিনী॥
বামা হাসছে বদনে, নয়ন-কোণে, নির্গত হয় সৌদামিনী॥
এ জনমে এমন কন্যে, না দেখি না কর্ণে শুনি।
গজ খাচ্ছে ধ’রে ফিরে উগরে, ষোড়শী নবযৌবনা॥
(এই গানটির সম্পূর্ণ অংশ পাওয়া যায় না।)",রামপ্রসাদ সেন
আর কত রহিব শুধু পথ চেয়ে,আধুনিক বাংলা গান,"আর কত রহিব শুধু পথ চেয়ে।
আমার আকাশ হয়না তো নীল
মেঘে মেঘে রয় ছেয়ে।
বকুলের মুকুলে নেই কেন গুন গুন
মাধবীর স্বপ্নে আসেনা তো ফাল্গুন
কিসের আশায় তবু জেগে রই
বেদনারই গান গেয়ে।
হাসি ভুলে আর কত কাঁদি
বালুচরে মিছে ঘর বাঁধি।
অবহেলা পেয়ে আমি আঁখিজলে সিক্ত
অসহায় এই আমি কত যেন রিক্ত
ঝড়ের আঘাতে হাল ভেঙ্গে যায়
খেয়া তবু যাই বেয়ে।","গৌরীপ্রসন্ন মজুমদার, সতীনাথ মুখোপাধ্যায়, হেমন্ত মুখোপাধ্যায়"
এবারের দুর্ভিক্ষের আগুন লাগল কলিজায় রে,ফোক গান,এবারের দুর্ভিক্ষের আগুন লাগল কলিজায় রে প্রাণী যায় প্রাণী যায় রে ॥ এবারের দুর্দশার কথা কহন না যায় পেটের ক্ষুধায় কত লোকে লতা পাতা খায় রে ॥ পাকিস্তানের গরিব দুঃখীর উপরে খোদায় না জানি কী অপরাধে এই বিপদ ঘটায় রে ॥ ভাইয়ের প্রতি ভাইয়ে নাহি নয়ন ফিরায় ভব-সাগরে যার তার বৈঠা যার তার ভাবে বায় রে ॥ শিশু সময় থাকে সন্তান মা-বাপের হাওলায় যে সময় যা দরকার পড়ে মায়ের কাছে চায় রে ॥ পেটের ক্ষুধায় সন্তান যখন কেঁদে বুক ভাসায়এই দুঃখে মা-বাপের গলে ফাঁসি দিতে চায় রে ॥ সকলেরই মেয়ে-ছেলে আছে দুনিয়ায় আগুনে ঝাঁপ দিতে চায় তোক সন্তানের মায়ায় রে ॥ কত কুলবধূ কুল ছাড়িয়া পেটের ক্ষুধায় জীবন বাঁচাবারই তরে লঙ্গরখানায় যায় রে ॥ সাত বৎসরের লীগ শাসনে এই দুর্দিন ঘটায় বিশ্বাসঘাতক যুক্তফ্রন্টে দ্বিগুণ জালায় রে ॥ কোয়ালিশন মন্ত্রিসভাতে আওয়ামী লীগ যাওয়ায়চিরদুঃখী গরিব-কাঙালে জীবনভিক্ষা পায় রে ॥ এই দুর্নীতি দমন হবে কে ভেবেছে তায় আঁধারে উঠিলে চন্দ্র চক্ষে দেখা যায় রে ॥ স্থানে স্থানে লঙ্গরখানা গরিব দুঃখীর দায় সপ্তাহে সপ্তাহে তারা রিলিফের চাউল পায় রে ॥ গরিব কৃষকের শান্তি কৃষিঋণ পাওয়ায় বন্যানিরোধ হবে বলে আশা করা যায় রে ॥ নয় বৎসরে গোরের পারে যাহারা পৌঁছায় ইসলাম নষ্ট হবে বলে আজও ভয় দেখায় রে ॥ এই উপকার ভুলব না আমরা শত্রুদের ছল্লায় আপন হস্তে দিব না ছুরি আপনার গলায় রে ॥ ওয়াস কুরুনি ওয়ালা তাকফুরুন কুরানে ফরমায় নিমকের হারামি কর না বলেছেন খোদায় রে ॥ এতটুকু অগ্রসর মোরা যাদের উসিলায় আওয়ামী লীগ জিন্দাবাদ বল মিলিয়া সবায় রে ॥ বাউল আবদুল করিম বলে দেশ নিল বন্যায় আরেক বন্যা মিলিটারি আসছিল মোদের দায় রে ॥,শাহ আব্দুল করিম
দূর বনান্তের পথ ভুলি কোন বুলবুলি,নজরুলগীতি,"গজল
দূর বনান্তের পথ ভুলি কোন্ বুলবুলি
বুকে মোর আসিলি, হায়!
হায় আনন্দের দূত যে তুই, তবু তোর চোখে
কেন জল কি ব্যথায়।।
কোথা দিই ঠাঁই তোরে ওরে ভীরু পাখি,
বেদনাময় আমার ও প্রাণ ,
এ মরুতে নাই তরু, নাই তোর তৃষ্ণার তরে
জল যে হেথায়।।
নিকুঞ্জে কার গাইতে গেলি গান,
বিঁধিল বুক কণ্টকে ;
হায় পুড়িয়া বৈশাখে এলি ভিজিতে
অশ্রুর বরষায়।।",কাজী নজরুল ইসলাম
আমার চোখ বেঁধে ভবের খেলায়,ফোক গান,"আমার চোখ বেঁধে ভবের খেলায়
বলছ হরি, আমায় ধর।
আঘাত দিয়ে কহ মোরে
এই তো আমার কর।
হাত বাড়ায়ে ম’লের ঘুরে
কাছে থেকেও রইলে দুরে;
এত আমার আপন হয়েও
রইলে সদা আমার পর।
ফুরায়ে যে এল বেলা,
সাঙ্গ কবে করবে খেলা?
হরি তুমি কর নিঠুর লীলা।
আমার প্রাণে লাগে ডর।
শকতি নাই তোমায় ধরি,
হার মেনেছি, হে শ্রীহরি।
দিলে খুলি, চোখের ঠুলি
দেখা দাও হে দুংখ হর!",অতুলপ্রসাদ সেন
দোলা হে দোলা হে দোলা,আধুনিক বাংলা গান,"হে দোলা হে দোলা
আঁকা বাঁকা পথে মোরা কাঁধে নিয়ে ছুটে যাই
.              রাজা-মহারাজাদের দোলা
আমাদের জীবনের ঘামে ভেজা শরীরের
.              বিনিময়ে পথ চলে দোলা
এই হেঁইয়া না, এই হেঁইয়া না, এই হেঁইয়া না।
ঐ দোলার ভেতরে ঝল্ মল্ করে যে
.               সুন্দর পোশাকের সাজ
আর, ফিরে ফিরে দেখ্ তাই ঝিকিমিকি করে যে
.              মাথায় রেশমের তাজ
হায়, মোর ছেলেটির উলঙ্গ শরীরে
.              একটুও জামা নেই",ভূপেন হাজারিকা
বিশ্বপতি খোদা তোমার  মহিমা অপার,ফোক গান,বিশ্বপতি খোদা তোমার মহিমা অপার রাখো-মারো ভাঙো-গড়ো তুমি বিনে কেবা কার ॥ সবাই দেখি যার-তার ভাবে এ জগতের সৃষ্ট জীবে নামের মহিমা সবেগাইতেছে অনিবার ॥ নামের ধ্বনি সর্বস্থানে ওঠেবিরাজ করো প্রতি ঘটে কুদরতে বুদ্ধি না খাটে ভাবিলে নাই কূলকিনার ॥ স্বর্গ-মর্ত-আকাশ-পাতালে আলো-আঁধারে কি অনল-অনিলে কুল্লেশাইন মোহিত তুমি অখণ্ড মণ্ডলাকার ॥ মন মজাও হে তোমার প্রেমে নাম যে স্মরি দমে দমে কয় বাউল আবদুর করিমে ঘোচাও মনের অন্ধকার ॥,শাহ আব্দুল করিম
ভাল হৈল আরে বঁধু আসিলা সকালে,ফোক গান,"ভাল হৈল আরে বঁধু আসিলা সকালে।
প্রভাতে দেখিলাম মুখ দিন যাবে ভালে।
বঁধু তোমায় বলিহারি যাই।
ফিরিয়া দাঁড়াও তোমার চাঁদ মুখ চাই।।
আই আই পড়েছে মুখে কাজরের শোভা।
ভালে যে সিন্দূর তোমার মুনির মনোলোভা।।
খর নখ দশনে অঙ্গ জর জর।
ভালে সে কঙ্কণ দাগ হিয়ার উপর।।
নীল পাটের শাটী কোচার বলনী।
রমণী রমণ হৈয়া বঞ্চিলা রজনী।।
সুরঙ্গ যাবক রঙ্গ উরে ভালে সাজে।
এমন কহ মনের কথা আইলা কিবা কাযে।।
চারি দিকে চায় নাগর আঁচলে মুখ মুছে।
চণ্ডীদাস কহে লাজ ধুইলে না ঘুচে।।",চণ্ডীদাস
বন্ধু সর সর পন্থের মধ্যে বাঁকা ঝুঁড়ি কেন এমন কর,ফোক গান,বন্ধু সর সরপন্থের মধ্যে বাঁকা ঝুঁড়ি কেন এমন করআমরা তো অভাগী নারী যাই যমুনার জলে কুলমান হারাইলাম তোমার বাঁশির স্বরে।।মান করিয়াছে প্রাণনাথ তোমার মান থাকআমরা অভাগিনী নারী পথখানি ছাড়।।লজ্জা নাই তোর নিলাজ কানাই লজ্জা নাইরে তোর পথ ছাড় রাধাকান্ত লজ্জা ক্ষমা করি।। ভাবিয়া রাধারমণ বলে শুনা এগো সখীজল লইয়া ঘরে আইলা রাধা কমলিনী।,রাধারমণ দত্ত
কয় দমেতে বাজে ঘড়ি করবে ঠিকানা,ফোক গান,"কয় দমেতে বাজে ঘড়ি করবে ঠিকানা।
কয় আজ দিন রজনী চলছে বল না।।
            দেহের খবর যে জন করে
            অনেক রূপ সে দেখতে পারে
            অনেক রূপ হাওয়ায় চলে রে
                        কি আজব কারখানা।।
            দেহ-তলায় ঘড়ি ঘোরে
            শব্দ হয় শব্দের ঘরে
            ও আর কলকাঠি মুকুলের দ্বারে
                        দমে আসল চেনা।।
            দমের সঙ্গে কর সম্মিলন
            অজান খবর জানবি রে মন
            বিনয় করে বলছে লালন
                        ঠিকের ঘরে ভুল না।।



লালন-গীতিকা, পৃ. ১০৬-০৭",লালন ফকির
চাঁপা রঙের শাড়ি আমার,নজরুলগীতি,"সারঙ-মিশ্র – কারফা
চাঁপা রঙের শাড়ি আমার
  যমুনা-নীর ভরণে গেল ভিজে।
ভয়ে মরি আমি, ঘরে ননদি,
  কহিব শুধাইলে কী যে॥
ছি ছি হরি একী খেল লুকোচুরি,
একলা পথে পেয়ে কর খুনসুড়ি,
রোধিতে তব কর ভাঙিল চুড়ি,
  ছলকি গেল কলসি যে॥
ডাঁশা কদম্ব দিবে বলি হরি,
ডাকিল তরু-তলে কেন ছল করি,
কাঁচা বয়সি পাইয়া কিশোরী
  মজাইলে, মজিলে নিজে॥",কাজী নজরুল ইসলাম
